Agent,Tracy Loi,14,true,Apartment,Garden Plaza,102489118,Garden Plaza,Selangor,Cyberjaya,63000,Persiaran Harmoni,A3,36,3,1700,1000,1.70,Freehold,Fully Furnished,3,2,1,24-Hours Security|Parking|Gymnasium|Swimming Pool|Jacuzzi|Sauna|,Air Conditioner|Kitchen Cabinet|Garden|Garage|,14Description.txt,14(1).png|14(2).png|14(3).png|14(4).png|14(5).png|14(6).png|,Comments|
Agent,Tracy Loi,16,true,Apartment,Garden Plaza,102537669,Garden Plaza,Selangor,Cyberjaya,63000,Persiaran Harmoni,F4,50,4,1100,450,2.44,Freehold,Fully Furnished,1,2,1,24-Hours Security|Parking|Gymnasium|Swimming Pool|Sauna|,Air Conditioner|Kitchen Cabinet|Garage|,16Description.txt,16(1).png|16(2).png|16(3).png|16(4).png|16(5).png|16(6).png|,Comments|
Agent,Tracy Loi,17,true,Apartment,Garden Plaza,102537684,Garden Plaza,Selangor,Cyberjaya,63000,Persiaran Harmoni,B3,2,3,950,450,2.11,Freehold,Fully Furnished,1,1,1,24-Hours Security|Parking|Gymnasium|Swimming Pool|,Air Conditioner|Kitchen Cabinet|Garage|,17Description.txt,17(1).png|17(2).png|17(3).png|17(4).png|17(5).png|17(6).png|,Comments|
Agent,Wai Wai,23,true,Apartment,Teeland Group,29506460,Third Avenue,Selangor,Cyberjaya,63000,Third Avenue Jalan Teknokrat 3| Cyber 4,D,7,19,1500,495,3.03,Freehold,Fully Furnished,1,1,0,24-Hours Security|Gymnasium|Swimming Pool|,Kitchen Cabinet|Balcony|,23Description.txt,23(1).jpg|23(2).jpg|23(3).jpg|23(4).jpg|,Comments|
Owner,Asyraf Hazimi,5,true,Apartment,Kanvas SOHO,92845382,Kanvas SOHO,Selangor,Cyberjaya,63000,Kanvas SOHO| Jalan Teknokrat 6,2,10,8,1250,480,2.60,Freehold,Fully Furnished,1,1,1,24-Hours Security|Parking|Gymnasium|Jogging Track|Playground|Swimming Pool|,Air Conditioner|Kitchen Cabinet|Balcony|Garage|Bath Tub|Fridge|Washing Machine|,5Description.txt,5(1).jpg|5(2).jpg|5(3).jpg|5(4).jpg|5(5).jpg|,Comments|
Owner,Eric YCEM,7,true,Apartment,Mutiara Ville,92762678,Mutiara Ville,Selangor,Cyberjaya,63000,Mutiara Ville Residence| Persiaran Sepang| Cyber 11,D,14,6,900,500,1.80,Freehold,Partly Furnished,1,1,1,24-Hours Security|Parking|BBQ|Gymnasium|Jogging Track|Playground|Swimming Pool|Squash Court,Air Conditioner|,7Description.txt,7(1).jpg|7(2).jpg|7(3).jpg|7(4).jpg|7(5).jpg|7(6).jpg|,Comments|
Agent,John Lee,19,true,Condominium,Mutiara Ville,102534820,Mutiara Ville,Selangor,Cyberjaya,63000,Persiaran Sepang Off Persiaran Multimedia,23,13,23,1300,935,1.39,Freehold,Fully Furnished,3,2,2,24-Hours Security|Parking|Club House|BBQ|Gymnasium|Jogging Track|Playground|Swimming Pool|Wading Pool|Tennis Court|Badminton Court|Basketball Court|Squash Court,Air Conditioner|Kitchen Cabinet|Balcony|Garden|Garage|,19Description.txt,19(1).png|19(2).png|19(3).png|19(4).png|19(5).png|19(6).png|,Comments|
Agent,John Lee,20,true,Condominium,Mutiara Ville,102616435,Mutiara Ville,Selangor,Cyberjaya,63000,Persiaran Sepang Off Persiaran Multimedia,16,11,16,1300,1180,1.10,Freehold,Fully Furnished,4,3,1,24-Hours Security|Parking|Playground|Swimming Pool|Basketball Court|,Air Conditioner|Kitchen Cabinet|,20Description.txt,20(1).png|20(2).png|20(3).png|20(4).png|20(5).png|20(6).png|,Comments|
Agent,Wai Wai,21,false,Condominium,LakeFront Residence Sdn. Bhd. (MCT Group),33681705,LakeFront Residence @ Cyberjaya,Selangor,Cyberjaya,63000,LakeFront Residence Persiaran Semarak Api,H,63,26,2000,1568,1.28,Freehold,Partly Furnished,3,2,2,24-Hours Security|Parking|Playground|Swimming Pool|Wading Pool|,Air Conditioner|Kitchen Cabinet|Balcony|,21Description.txt,21(1).jpg|21(2).jpg|21(3).jpg|21(4).jpg|21(5).jpg|,Comments|
Agent,Wai Wai,22,true,Studio,Tujuan Gemilang Sdn Bhd,29677960,Tamarind Suites @ Cyberjaya,Selangor,Cyberjaya,63000,Tamarind Square| Cyberjaya,B,5,17,1000,403,2.48,Freehold,Fully Furnished,Studio,1,1,24-Hours Security|Parking|Gymnasium|Playground|Swimming Pool|Wading Pool|Jacuzzi|Sauna|,Air Conditioner|Fridge|,22Description.txt,22(1).jpg|22(2).jpg|22(3).jpg|,Comments|
Agent,Wai Wai,24,true,Terraced House,Shymphony Hills Sdn Bhd,30288848,Shymphony Hills Cyberjaya,Selangor,Cyberjaya,63000,Symphony Hills| Cyberjaya,-,79,-,5300,3132,1.69,Freehold,Fully Furnished,4,5,4,24-Hours Security|Parking|Club House|Playground|Swimming Pool|Wading Pool|,Air Conditioner|Balcony|Garden|Washing Machine|Dryer,24Description.txt,24(1).jpg|24(2).jpg|24(3).jpg|24(4).jpg|24(5).jpg|24(6).jpg|,Comments|
Agent,Wai Wai,25,false,Condominium,Sky Park Development Team,30450205,Sky Park Cyberjaya,Selangor,Cyberjaya,63000,Jalan Teknokrat 1| Cyberjaya,J,10,8,1500,724,2.07,Freehold,Fully Furnished,2,1,1,Parking|,Air Conditioner|Balcony|,25Description.txt,25(1).jpg|25(2).jpg|25(3).jpg|25(4).jpg|25(5).jpg|,Comments|
Owner,Chan,6,true,Condominium,Tamarind Suites,92794816,Tamarind Suites,Selangor,Cyberjaya,63000,Tamarind Square,1,10,14,1400,403,3.47,Freehold,Fully Furnished,1,1,1,24-Hours Security|Parking|Gymnasium|Jogging Track|Playground|Swimming Pool|,Air Conditioner|Garage|Washing Machine|,6Description.txt,6(1).jpg|6(2).jpg|6(3).jpg|6(4).jpg|6(5).jpg|6(6).jpg|,Comments|
Agent,Andrew Liew,27,true,Apartment,Sky Park Development Team,32433464,Sky Park @ Cyberjaya,Selangor,Cyberjaya,63000,Jalan Teknokrat 1| Cyberjaya,I,13,21,1300,929,1.40,Freehold,Fully Furnished,2,2,1,Parking|,Air Conditioner|Kitchen Cabinet|Balcony|Bath Tub|,27Description.txt,27(1).jpg|27(2).jpg|27(3).jpg|27(4).jpg|27(5).jpg|,Comments|
Agent,Andrew Liew,28,true,Apartment,Sky Park Development Team,32433584,Sky Park @ Cyberjaya,Selangor,Cyberjaya,63000,Jalan Teknokrat 1| Cyberjaya,D,50,15,1100,750,1.47,Freehold,Fully Furnished,1,2,1,Parking|,Air Conditioner|Kitchen Cabinet|Balcony|Bath Tub|,28Description.txt,28(1).jpg|28(2).jpg|28(3).jpg|28(4).jpg|28(5).jpg|28(6).jpg|,Comments|
Agent,Tracy Loi,15,true,Apartment,Garden Plaza,102630820,Garden Plaza,Selangor,Cyberjaya,63000,Persiaran Harmoni,B1,12,1,1100,450,2.44,Freehold,Fully Furnished,1,2,1,24-Hours Security|Parking|Gymnasium|Swimming Pool|Sauna|,Air Conditioner|Kitchen Cabinet|Garage|,15Description.txt,15(1).png|15(2).png|15(3).png|15(4).png|15(5).png|15(6).png|,Comments|
Agent,Mr Chew,29,true,Condominium,OSK Property Holdings Berhad,29498611,Solstice @ Pan'gaea,Selangor,Cyberjaya,63000,Persiaran Bestari| Cyber 11| Cyberjaya,A,30,18,900,450,2.00,Freehold,Fully Furnished,1,1,0,24-Hours Security|BBQ|Gymnasium|Playground|Swimming Pool|Wading Pool|Jacuzzi|Squash Court,Air Conditioner|Kitchen Cabinet|Fridge|Washing Machine|,29Description.txt,29(1).jpg|29(2).jpg|29(3).jpg|29(4).jpg|29(5).jpg|,Comments|sinzhung: such a nice property would recommend to my friends,next time.|
